ticker,budget_tier,film_count,avg_roi,median_roi,avg_car,avg_budget,avg_revenue
DIS,High ($150M-$250M),56,262.04,203.42,-0.44,193907142.86,700397556.43
DIS,Low (<$50M),36,243.43,172.5,-0.06,28627777.78,91438415.97
DIS,Mega (>$250M),10,264.96,174.42,0.18,317240000.0,1150010960.4
DIS,Mid ($50M-$150M),47,166.49,140.68,-0.18,102914893.62,297628179.68
SONY,High ($150M-$250M),3,423.61,403.42,1.99,193333333.33,964803002.67
SONY,Low (<$50M),67,241.84,137.68,0.4,24570149.25,76030620.94
SONY,Mid ($50M-$150M),38,248.07,176.93,-0.31,88947368.42,316773582.32
WBD,High ($150M-$250M),27,148.93,127.82,-3.13,186814814.81,459977660.81
WBD,Low (<$50M),72,254.95,146.81,-0.35,29161111.11,105772280.85
WBD,Mega (>$250M),1,120.44,120.44,2.67,300000000.0,661326987.0
WBD,Mid ($50M-$150M),40,217.69,196.11,-1.22,106802500.0,370661510.52
